,Unnamed: 0,movie name,Ratings,Genre,Synopsis,Rating
37,37,Brink!,6.9,"
Drama, Family, Sport            ","
Andy ""Brink"" Brinker and his in-line skating crew--Peter, Jordy, and Gabriella--who call themselves ""Soul-Skaters"" (which means they skate for the fun of it, and not for the money), clash ...                <a href=""/title/tt0162212/plotsummary"">See full summary</a> »
",
38,38,Cinderella,6.9,"
Adventure, Drama, Family            ","
When her father unexpectedly dies, young Ella finds herself at the mercy of her cruel stepmother and her scheming stepsisters. Never one to give up hope, Ella's fortunes begin to change after meeting a dashing stranger.",
39,39,Hercules,7.3,"
Animation, Adventure, Comedy            ","
The son of Zeus and Hera is stripped of his immortality as an infant and must become a true hero in order to reclaim it.",
40,40,Swiss Family Robinson,7.1,"
Adventure, Family            ","
A Swiss family must survive being shipwrecked on a deserted island.",
41,41,Pinocchio,7.5,"
Animation, Adventure, Comedy            ","
A living puppet, with the help of a cricket as his conscience, must prove himself worthy to become a real boy.",
42,42,The AristoCats,7.1,"
Animation, Adventure, Comedy            ","
With the help of a smooth talking tomcat, a family of Parisian felines set to inherit a fortune from their owner try to make it back home after a jealous butler kidnaps them and leaves them in the country.",
43,43,Alice in Wonderland,7.4,"
Animation, Adventure, Comedy            ","
Alice stumbles into the world of Wonderland. Will she get home? Not if the Queen of Hearts has her way.",
44,44,Tru Confessions,7.5,"
Comedy, Drama, Family            ","
Trudy Walker hated her life. She thought it was totally messed up until she found out about a contest that could change everything..",
45,45,Fantasia,7.7,"
Animation, Family, Fantasy            ","
A collection of animated interpretations of great works of Western classical music, ranging from the abstract to depictions of mythology and fantasy, and settings including the prehistoric, supernatural and sacred.",
46,46,Remember the Titans,7.8,"
Biography, Drama, Sport            ","
The true story of a newly appointed African-American coach and his high school team on their first season as a racially integrated unit.",
47,47,Dumbo,7.2,"
Animation, Adventure, Drama            ","
Ridiculed because of his enormous ears, a young circus elephant is assisted by a mouse to achieve his full potential.",
48,48,Homeward Bound: The Incredible Journey,6.9,"
Adventure, Comedy, Drama            ","
A fun-loving American bulldog pup, a hilarious Himalayan cat, and a wise old golden retriever embark on a long trek through the rugged wilderness of the Sierra Nevada mountains in a quest to reach home and their beloved owners.",
49,49,Toy Story 2,7.9,"
Animation, Adventure, Comedy            ","
When Woody is stolen by a toy collector, Buzz and his friends set out on a rescue mission to save Woody before he becomes a museum toy property with his roundup gang Jessie, Prospector, and Bullseye.",
50,50,Lilo & Stitch,7.3,"
Animation, Adventure, Comedy            ","
A young and parentless girl adopts a 'dog' from the local pound, completely unaware that it's supposedly a dangerous scientific experiment that's taken refuge on Earth and is now hiding from its creator and those who see it as a menace.",
51,51,The Sword in the Stone,7.1,"
Animation, Adventure, Comedy            ","
A poor boy named Arthur learns the power of love, kindness, knowledge and bravery with the help of a wizard called Merlin in the path to become one of the most beloved kings in English history.",
52,52,The Muppet Movie,7.6,"
Adventure, Comedy, Family            ","
Kermit and his newfound friends trek across America to find success in Hollywood, but a frog legs merchant is after Kermit.",
53,53,The Hunchback of Notre Dame,7,"
Animation, Drama, Family            ","
A deformed bell-ringer must assert his independence from a vicious government minister in order to help his friend, a gypsy dancer.",
54,54,Toby Tyler or Ten Weeks with a Circus,6.9,"
Drama, Family            ","
Taken in by distant members of his family after being orphaned, Toby Tyler runs away to join the circus.",
55,55,Old Yeller,7.3,"
Adventure, Drama, Family            ","
A teenage boy grows to love a stray yellow dog while helping his mother and younger brother run their Texas homestead while their father is away on a cattle drive. First thought to be good-for-nothing mutt, Old Yeller is soon beloved by all.",
56,56,The Nightmare Before Christmas,7.9,"
Animation, Family, Fantasy            ","
Jack Skellington, king of Halloween Town, discovers Christmas Town, but his attempts to bring Christmas to his home causes confusion.",
57,57,The Muppet Christmas Carol,7.7,"
Comedy, Drama, Family            ","
The Muppet characters tell their version of the classic tale of an old and bitter miser's redemption on Christmas Eve.",
58,58,Hauru no ugoku shiro,8.2,"
Animation, Adventure, Family            ","
When an unconfident young woman is cursed with an old body by a spiteful witch, her only chance of breaking the spell lies with a self-indulgent yet insecure young wizard and his companions in his legged, walking castle.",
59,59,Cars,7.2,"
Animation, Adventure, Comedy            ","
On the way to the biggest race of his life, a hotshot rookie race car gets stranded in a rundown town, and learns that winning isn't everything in life.",
60,60,Halloweentown,6.6,"
Adventure, Comedy, Family            ","
When a young girl living with her secret witch mother learns she too is a witch, she must help her witch grandmother save Halloweentown from evil forces.",
61,61,Oliver & Company,6.6,"
Animation, Adventure, Comedy            ","
A lost and alone kitten joins a gang of dogs engaged in petty larceny in New York City.",
62,62,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",6.9,"
Adventure, Family, Fantasy            ","
Four kids travel through a wardrobe to the land of Narnia and learn of their destiny to free it with the guidance of a mystical lion.",
63,63,Love Leads the Way: A True Story,7.6,"
Drama, Family, History            ","
A recently blinded man becomes one of the first American users of a seeing eye dog and must fight to remove the legal barriers impeding its use.",
64,64,The Journey of Natty Gann,7,"
Adventure, Family            ","
In the 1930s, a tomboy runs away from her guardian to join her single father who is 2,000 miles away, where he has found work.",
65,65,Enchanted,7.1,"
Animation, Adventure, Comedy            ","
A young maiden in a land called Andalasia, who is prepared to be wed, is sent away to New York City by an evil Queen, where she falls in love with a lawyer.",
66,66,Almost Angels,6.5,"
Comedy, Family, Music            ","
Supported avidly by his mother and more reluctantly at first by his father, a working-class Austrian boy joins the Vienna Choirboys, where he proves to be unusually talented. The standard ...                <a href=""/title/tt0055740/plotsummary"">See full summary</a> »
",
67,67,The Rescuers,6.9,"
Animation, Adventure, Comedy            ","
Two mice of the Rescue Aid Society search for a little girl kidnapped by unscrupulous treasure hunters.",
68,68,Brave,7.1,"
Animation, Adventure, Comedy            ","
Determined to make her own path in life, Princess Merida defies a custom that brings chaos to her kingdom. Granted one wish, Merida must rely on her bravery and her archery skills to undo a beastly curse.",
69,69,The Color of Friendship,7.2,"
Biography, Drama, Family            ","
A white South African girl finds herself in a difficult situation when she is sent to spend a term with a black family in America.",
70,70,Miracle,7.4,"
Biography, Drama, History            ","
The true story of Herb Brooks, the player-turned-coach who led the 1980 U.S. Olympic hockey team to victory over the seemingly invincible Soviet squad.",
71,71,Pocahontas,6.7,"
Animation, Adventure, Drama            ","
An English soldier and the daughter of an Algonquin chief share a romance when English colonists invade seventeenth century Virginia.",
72,72,A Bug's Life,7.2,"
Animation, Adventure, Comedy            ","
A misfit ant, looking for ""warriors"" to save his colony from greedy grasshoppers, recruits a group of bugs that turn out to be an inept circus troupe.",
73,73,Cool Runnings,7,"
Adventure, Comedy, Family            ","
When a Jamaican sprinter is disqualified from the Olympic Games, he enlists the help of a dishonored coach to start the first Jamaican Bobsled Team.",
74,74,Newsies,6.9,"
Drama, Family, History            ","
A musical based on the New York City newsboy strike of 1899. When young newspaper sellers are exploited beyond reason by their bosses they set out to enact change and are met by the ruthlessness of big business.",
75,75,Maleficent,6.9,"
Adventure, Family, Fantasy            ","
A vengeful fairy is driven to curse an infant princess, only to discover that the child may be the one person who can restore peace to their troubled land.",
76,76,Pollyanna,7.4,"
Comedy, Drama, Family            ","
A young girl comes to an embittered town and confronts its attitude with her determination to see the best in life.",
77,77,The Happiest Millionaire,6.6,"
Comedy, Family, Musical            ","
Clever yet hapless new butler John Lawless manages a Philadelphia household for quirky and joyful millionaire Anthony Drexel Biddle, his unflappable wife, Cordelia, and their spitfire daughter, Cordy.",
78,78,National Treasure,6.9,"
Action, Adventure, Mystery            ","
A historian races to find the legendary Templar Treasure before a team of mercenaries.",
79,79,The Light in the Forest,6.5,"
Adventure, Drama, Family            ","
A young white man who spent his whole life raised by Native Americans is sent to live with his birth family and must learn to fit in with people he was taught to hate.",
80,80,Hocus Pocus,6.9,"
Comedy, Family, Fantasy            ","
A teenage boy named Max and his little sister move to Salem, where he struggles to fit in before awakening a trio of diabolical witches that were executed in the 17th century.",
81,81,Winnie the Pooh,7.1,"
Animation, Adventure, Comedy            ","
While searching for honey, Pooh and his friends embark on an adventure to find Eeyore's missing tail and rescue Christopher Robin from an unknown monster called The Backson.",
82,82,Eight Below,7.3,"
Adventure, Drama, Family            ","
Brutal cold forces two Antarctic explorers to leave their team of sled dogs behind as they fend for their survival.",
83,83,Davy Crockett: King of the Wild Frontier,6.9,"
Adventure, Drama, Family            ","
American frontiersman Davy Crockett fights in the Creek Indian War, is elected to the U.S. Congress and fights for Texas at the Alamo.",
84,84,Tinker Bell and the Legend of the NeverBeast,7.1,"
Animation, Adventure, Family            ","
When the compassionate animal-fairy, Fawn, befriends the sleepy furry giant called the NeverBeast, persuading Queen Clarion and the vigilant Scout Fairies of its kindness is easier said than done. Is the peaceful Pixie Hollow in danger?",
85,85,The Rescuers Down Under,6.8,"
Animation, Adventure, Comedy            ","
R.A.S. agents Miss Bianca and Bernard race to Australia to save a little boy and a rare golden eagle from a murderous poacher.",
86,86,The Three Lives of Thomasina,7.2,"
Drama, Family            ","
Thomasina the cat brings a family together, through her mysterious death and reappearance.",
87,87,Johnny Tsunami,6.2,"
Drama, Family, Sport            ","
A Hawaiian teenage surfer shows off his skills when he takes to the snow slopes in Vermont.",
88,88,Monsters University,7.2,"
Animation, Adventure, Comedy            ","
A look at the relationship between Mike Wazowski (Billy Crystal) and James P. ""Sully"" Sullivan (John Goodman) during their days at Monsters University, when they weren't necessarily the best of friends.",
89,89,Pirates of the Caribbean: At World's End,7.1,"
Action, Adventure, Fantasy            ","
Captain Barbossa, Will Turner and Elizabeth Swann must sail off the edge of the map, navigate treachery and betrayal, find Jack Sparrow, and make their final alliances for one last decisive battle.",
90,90,The Parent Trap,7.2,"
Comedy, Family, Romance            ","
Teenage twin sisters swap places and scheme to reunite their divorced parents.",
91,91,Right on Track,6.1,"
Biography, Drama, Family            ","
Fact-based drama chronicling the story of two determined sisters who battled the prejudice of a male-dominated sport to become world-class drag racers.",
92,92,Phantom of the Megaplex,6.3,"
Action, Comedy, Family            ","
A young man working at a cinema on a special premiere night, finds that the films being shown are full of strange and eerie occurrences.",
93,93,Treasure Planet,7.2,"
Animation, Adventure, Family            ","
In this science fiction rendering of the classic novel ""Treasure Island"", Jim Hawkins (Joseph Gordon-Levitt) is a rebellious teen seen by the world as an aimless slacker. After he receives ...                <a href=""/title/tt0133240/plotsummary"">See full summary</a> »
",
94,94,Motocrossed,6.5,"
Action, Adventure, Family            ","
A young girl secretly poses as her twin brother to win the big motocross race for him after he breaks his leg.",
95,95,Bolt,6.8,"
Animation, Adventure, Comedy            ","
The canine star of a fictional sci-fi/action show that believes his powers are real embarks on a cross country trek to save his co-star from a threat he believes is just as real.",
96,96,The Princess and the Frog,7.1,"
Animation, Adventure, Comedy            ","
A waitress, desperate to fulfill her dreams as a restaurant owner, is set on a journey to turn a frog prince back into a human being, but she has to face the same problem after she kisses him.",
97,97,A Goofy Movie,6.9,"
Animation, Adventure, Comedy            ","
When Max makes a preposterous promise to a girl he has a crush on, his chances to fulfilling it seem hopeless when he is dragged onto a cross-country trip with his embarrassing father, Goofy.",
98,98,The Lion King II: Simba's Pride,6.4,"
Animation, Adventure, Comedy            ","
Simba's daughter is the key to a resolution of a bitter feud between Simba's pride and the outcast pride led by the mate of Scar.",
99,99,The Scream Team,6.3,"
Comedy, Family, Fantasy            ","
Eccentric Frank Carlyle owned a hardware store in small town Steeple Falls which takes pride in and profit from its Halloween traditions. Frank's widower son Richard begrudgingly returns ...                <a href=""/title/tt0313634/plotsummary"">See full summary</a> »
",
